[ác cảm]	{n}	"antipathy(icl>dislike>thing)"	"A FEELING OF INTENSE DISLIKE"	""	{n}	2,auto-polysemic-3lang;
[ách]	{n}	"yoke(icl>stable_gear>thing)"	"STABLE GEAR THAT JOINS TWO DRAFT ANIMALS AT THE NECK SO THEY CAN WORK TOGETHER AS A TEAM"	""	{n}	2,auto-polysemic-3lang;
[ác liệt]	{a}	"fierce(icl>adj,equ>ferocious)"	"MARKED BY EXTREME AND VIOLENT ENERGY"	"FIERCE FIGHTING"	{a}	2,auto-polysemic-3lang;
[ắc quy]	{n}	"accumulator(icl>voltaic_battery>thing,equ>storage_battery)"	"A VOLTAIC BATTERY THAT STORES ELECTRIC CHARGE"	""	{n}	2,auto-polysemic-3lang;
[ắc quy]	{n}	"battery(icl>artillery>thing)"	"GROUP OF GUNS OR MISSILE LAUNCHERS OPERATED TOGETHER AT ONE PLACE"	""	{n}	2,auto-polysemic-3lang;
[ắc quy]	{n}	"battery(icl>electrical_device>thing)"	"A DEVICE THAT PRODUCES ELECTRICITY"	"MAY HAVE SEVERAL PRIMARY OR SECONDARY CELLS ARRANGED IN PARALLEL OR SERIES"	{n}	2,auto-polysemic-3lang;
[actini]	{n}	"actinium(icl>chemical_element>thing)"	"A RADIOACTIVE ELEMENT OF THE ACTINIDE SERIES"	"FOUND IN URANIUM ORES"	{n}	2,auto-monosemic-2lang;
[actisô]	{n}	"artichoke(icl>vegetable>thing)"	"A THISTLELIKE FLOWER HEAD WITH EDIBLE FLESHY LEAVES AND HEART"	""	{n}	2,auto-monosemic-2lang;
[agon]	{n}	"argon(icl>chemical_element>thing)"	"A COLORLESS AND ODORLESS INERT GAS"	"ONE OF THE SIX INERT GASES"	{n}	2,auto-monosemic-2lang;
[ai cập học]	{n}	"egyptology(icl>archeology>thing)"	"ARCHEOLOGY OF ANCIENT EGYPTIAN ARTIFACTS"	""	{n}	2,auto-monosemic-2lang;
[ái!]	{misc}	"ouch(icl>how,com>pain)"	"USED ESPECIALLY TO EXPRESS SUDDEN PAIN"	"OUCH! IT'S HOT!"	{misc}	2,auto-monosemic-2lang;
[ai]	{n}	"who(icl>person)"	"WHAT OR WHICH PERSON OR PERSONS"	"WHO IS THERE?"	{n}	2,auto-polysemic-3lang;
[ái quốc]	{a}	"patriotic(icl>adj,ant>unpatriotic)"	"INSPIRED BY LOVE FOR YOUR COUNTRY"	""	{a}	2,auto-polysemic-3lang;
[ái tình]	{n}	"love(icl>emotion>thing,ant>hate)"	"A STRONG POSITIVE EMOTION OF REGARD AND AFFECTION"	"HIS LOVE FOR HIS WORK"	{n}	2,auto-polysemic-3lang;
[ái tình]	{n}	"love(icl>sexual_desire>thing)"	"A DEEP FEELING OF SEXUAL DESIRE AND ATTRACTION"	"THEIR LOVE LEFT THEM INDIFFERENT TO THEIR SURROUNDINGS"	{n}	2,auto-polysemic-3lang;
[á kim]	{n}	"nonmetal(icl>chemical_element>thing)"	"A CHEMICAL ELEMENT LACKING TYPICAL METALLIC PROPERTIES"	""	{n}	1,auto-monosemic-1lang;
[ẩm]	{a}	"damp(icl>adj)"	"SLIGHTLY WET"	"CLOTHES DAMP WITH PERSPIRATION"	{a}	2,auto-polysemic-3lang;
[ẩm]	{a}	"humid(icl>adj)"	"CONTAINING OR CHARACTERIZED BY A GREAT DEAL OF WATER VAPOR"	"HUMID AIR"	{a}	2,auto-polysemic-3lang;
[ẩm]	{a}	"moist(icl>adj,equ>damp)"	"SLIGHTLY WET"	"A MOIST BREEZE"	{a}	2,auto-polysemic-3lang;
