# This file contains links between UNL UWs and Hindi Wordnet
# UW	Relation	POS	Words(weight)	SynsetID
#
24-karat_gold(icl>gold>thing)	Direct	n	1(2)	1874
a(icl>blood_group>thing)	Direct	n	9(4)	26954
a(icl>fat-soluble_vitamin>thing,equ>vitamin_a)	Direct	n	3(2)	27164
a(icl>letter>thing)	Direct	n	1(4)	27854
a(icl>nucleotide>thing,equ>deoxyadenosine_monophosphate)	Direct	n	3(2)	27054
a(icl>purine>thing,equ>adenine)	Direct	n	2(2)	27055
a-bomb(icl>nuclear_weapon>thing,equ>atom_bomb)	Direct	n	1(2)	15164
a_good_deal(icl>how,equ>a_lot)	Direct	adv	1(4)	13340
a_great_deal(icl>how,equ>a_lot)	Direct	adv	1(4)	13340
a_great_deal(icl>how,equ>much)	Direct	adv	3(2)	7210
a_lot(icl>how)	Direct	adv	3(4),1(6)	13340
ab(icl>blood_group>thing)	Direct	n	1(2),2(2),3(2)	26959
ab_initio(icl>how,equ>initially)	Direct	adv	2(4),5(4),14(4),6(4)	6768
abacus(icl>calculator>thing)	Direct	n	1(2)	25553
abandon(icl>unrestraint>thing)	Direct	n	2(4)	22308
abandonment(icl>rejection>thing)	Direct	n	2(4),1(4)	6042
abatement(icl>interruption>thing,equ>suspension)	Direct	n	1(4)	22284
abattoir(icl>building>thing)	Direct	n	1(2)	4200
abbreviation(icl>shortening>thing)	Direct	n	2(4)	24674
abdicable(icl>adj)	Direct	a	1(4),3(4)	547
abdomen(icl>body_part>thing)	Direct	n	2(4),1(4)	3470
abdominal(icl>adj,com>abdomen)	Direct	a	1(4)	18542
abduction(icl>capture>thing)	Hypernymy	n	2(2),1(2)	36215
abduction(icl>capture>thing)	Direct	n	1(2)	7889
abductor(icl>criminal>thing,equ>kidnapper)	Direct	n	4(4)	22016
abhorrent(icl>adj)	Direct	a	3(4),1(4)	2418
abidance(icl>act>thing,equ>residency)	Direct	n	1(4),2(4)	27447
abide(icl>permit>do,equ>digest,agt>thing,obj>thing)	Direct	v	2(6)	3667
abide(icl>permit>do,equ>digest,agt>thing,obj>thing)	Hypernymy	v	1(2),2(2),3(2)	38112
abide(icl>permit>do,equ>digest,agt>thing,obj>thing)	Direct	v	2(2)	590
ablative(icl>oblique>thing)	Direct	n	1(4)	11887
able(icl>adj)	Direct	a	1(4)	3256
abloom(icl>adj)	Direct	a	2(2)	1773
abnegation(icl>selflessness>thing)	Direct	n	2(4)	5408
abode(icl>housing>thing,equ>dwelling)	Direct	n	6(4),3(4)	2761
abode(icl>housing>thing,equ>dwelling)	Hypernymy	n	1(2)	37929
abode(icl>housing>thing,equ>dwelling)	Hypernymy	n	1(2),2(2)	39335
abominable_snowman(icl>legendary_creature>thing)	Direct	n	1(2)	34331
abort(icl>die>occur,obj>thing)	Hypernymy	v	1(2),2(2)	11973
abortion(icl>termination>thing)	Direct	n	2(5)	12364
abortive(icl>adj)	Direct	a	1(2),5(2)	3195
above(icl>how,ant>below)	Direct	adv	1(4)	10973
above-mentioned(icl>adj)	Direct	a	1(4)	3848
above_all(icl>how)	Direct	adv	1(2)	24589
abrasion(icl>wound>thing)	Direct	n	1(2)	8680
absence(icl>lack>thing,ant>presence)	Hypernymy	n	1(2)	17443
absence(icl>lack>thing,ant>presence)	Hypernymy	n	1(2)	38903
absence(icl>lack>thing,ant>presence)	Direct	n	1(7),3(6)	6745
absent(icl>adj)	Direct	a	1(2)	18056
absent(icl>adj,ant>present)	Direct	a	1(7),3(4)	85
absentmindedness(icl>preoccupation>thing)	Direct	n	3(2)	21937
absolutism(icl>dominance>thing)	Direct	n	1(2)	23282
absorption(icl>attention>thing,equ>concentration)	Direct	n	4(4),1(4)	1152
absorption(icl>sorption>thing)	Direct	n	1(4)	2078
abstain(icl>do,agt>thing)	Hypernymy	v	1(2)	36314
abstainer(icl>religious_person>thing)	Direct	n	4(2)	30789
abstainer(icl>religious_person>thing)	Hypernymy	n	1(2),2(2)	33218
abstemious(icl>adj,ant>gluttonous)	Direct	a	3(2)	21060
abstemious(icl>adj,ant>gluttonous)	Direct	a	4(4)	657
abstinence(icl>self-denial>thing)	Direct	n	2(6)	11227
abstract(icl>steal>do,equ>pilfer,agt>thing,obj>thing)	Direct	v	1(2)	34596
abstract(icl>summary>thing,equ>outline)	Direct	n	6(4),1(5)	3852
abstractionist(icl>adj,equ>abstract)	Direct	a	2(2)	31725
absurd(icl>adj)	Direct	a	3(4)	10710
abu_dhabi(iof>national_capital>thing)	Direct	n	1(4)	24352
abuja(iof>national_capital>thing)	Direct	n	1(4)	24207
abuse(icl>attack>do,equ>insult,agt>person,obj>person)	Direct	v	1(4)	7070
abuse(icl>disrespect>abstract_thing,obj>thing)	Direct	n	1(2)	2065
abuse(icl>disrespect>abstract_thing,obj>thing)	Direct	n	2(4)	36518
abuse(icl>mistreatment>abstract_thing,obj>thing)	Direct	n	1(2)	13
abuse(icl>use>abstract_thing,obj>thing)	Direct	n	1(2)	6198
abusive(icl>adj)	Direct	a	1(6)	18617
abyssinia(iof>african_country>thing,equ>ethiopia)	Direct	n	(4)	20107
acacia(icl>tree>thing)	Hypernymy	n	2(2),1(2)	15067
acacia(icl>tree>thing)	Hypernymy	n	1(2),2(2)	17059
acacia(icl>tree>thing)	Hypernymy	n	2(2),3(2),1(2)	17518
acacia(icl>tree>thing)	Hypernymy	n	1(2),2(2)	17580
acacia(icl>tree>thing)	Hypernymy	n	1(2)	18130
acacia(icl>tree>thing)	Hypernymy	n	1(2)	18465
acacia(icl>tree>thing)	Hypernymy	n	1(2),2(2)	19862
acacia(icl>tree>thing)	Hypernymy	n	1(2)	20576
acacia(icl>tree>thing)	Hypernymy	n	2(2),1(2)	23695
acacia(icl>tree>thing)	Hypernymy	n	1(2)	30838
acacia(icl>tree>thing)	Hypernymy	n	1(2)	31763
acacia(icl>tree>thing)	Hypernymy	n	3(2),1(2),2(2)	7149
acacia_farnesiana(icl>acacia>thing,equ>huisache)	Direct	n	1(2)	16682
academic(icl>adj,com>academia)	Direct	a	1(2)	34284
academician(icl>honoree>thing)	Direct	n	1(2)	34859
academy(icl>establishment>thing)	Direct	n	1(4)	28559
academy(icl>institution>thing)	Direct	n	1(4)	10350
academy(icl>school>thing)	Direct	n	1(4)	28424
acanthus(icl>herb>thing)	Hypernymy	n	1(2),2(2)	34062
acardia(icl>abnormality>thing)	Direct	n	2(4),1(4)	31582
accelerator(icl>activator>thing,equ>catalyst,ant>anticatalyst)	Direct	n	1(2)	14665
accelerometer(icl>measuring_instrument>thing)	Direct	n	1(2)	31684
accent(icl>non-standard_speech>thing,equ>dialect)	Hypernymy	n	1(2),2(2),3(2)	39356
accent(icl>non-standard_speech>thing,equ>dialect)	Hypernymy	n	1(2)	6107
accent(icl>non-standard_speech>thing,equ>dialect)	Direct	n	1(4)	6948
accept(icl>get>do,equ>take,agt>volitional_thing,obj>thing,cag>thing)	Direct	v	1(2)	2015
accept(icl>get>do,equ>take,agt>volitional_thing,obj>thing,cag>thing)	Direct	v	2(4),3(4),1(4)	3666
accept(icl>get>do,equ>take,agt>volitional_thing,obj>thing,cag>thing)	Hypernymy	v	1(2),3(2),2(2)	39260
acceptable(icl>adj,ant>unacceptable)	Direct	a	1(2)	29236
acceptance(icl>blessing>thing,equ>adoption)	Direct	n	1(5)	10306
acceptance(icl>blessing>thing,equ>adoption)	Direct	n	1(8)	106
acceptation(icl>blessing>thing,equ>adoption)	Direct	n	2(2)	10306
acceptation(icl>blessing>thing,equ>adoption)	Direct	n	1(6)	106
access(icl>approach>thing)	Hypernymy	n	2(3)	39157
accessibility(icl>convenience>thing,equ>handiness,ant>inaccessibility)	Direct	n	1(4)	904
accessible(icl>adj)	Direct	a	1(4)	2721
