[ắc quy]	{}	"accumulator(icl>voltaic_battery>thing,equ>storage_battery)"	"A VOLTAIC BATTERY THAT STORES ELECTRIC CHARGE"	""	{n}	2,auto-polysemic-3lang;
[ắc quy]	{}	"battery(icl>electrical_device>thing)"	"A DEVICE THAT PRODUCES ELECTRICITY"	"MAY HAVE SEVERAL PRIMARY OR SECONDARY CELLS ARRANGED IN PARALLEL OR SERIES"	{n}	2,auto-polysemic-3lang;
[ắc quy]	{}	"battery(icl>stamp_mill>thing)"	"A SERIES OF STAMPS OPERATED IN ONE MORTAR FOR CRUSHING ORES"	""	{n}	2,auto-polysemic-3lang;
[actisô]	{}	"artichoke(icl>vegetable>thing)"	"A THISTLELIKE FLOWER HEAD WITH EDIBLE FLESHY LEAVES AND HEART"	""	{n}	2,auto-monosemic-2lang;
[agon]	{}	"argon(icl>chemical_element>thing)"	"A COLORLESS AND ODORLESS INERT GAS"	"ONE OF THE SIX INERT GASES"	{n}	2,auto-monosemic-2lang;
[ai cập học]	{}	"egyptology(icl>archeology>thing)"	"ARCHEOLOGY OF ANCIENT EGYPTIAN ARTIFACTS"	""	{n}	2,auto-monosemic-2lang;
[ái!]	{}	"ouch(icl>how,com>pain)"	"USED ESPECIALLY TO EXPRESS SUDDEN PAIN"	"OUCH! IT'S HOT!"	{misc}	2,auto-monosemic-2lang;
[ái quốc]	{}	"patriotic(icl>adj,ant>unpatriotic)"	"INSPIRED BY LOVE FOR YOUR COUNTRY"	""	{a}	2,auto-polysemic-3lang;
[ai]	{}	"who(icl>person)"	"WHAT OR WHICH PERSON OR PERSONS"	"WHO IS THERE?"	{n}	2,auto-polysemic-3lang;
[á kim]	{}	"nonmetal(icl>chemical_element>thing)"	"A CHEMICAL ELEMENT LACKING TYPICAL METALLIC PROPERTIES"	""	{n}	1,auto-monosemic-1lang;
[ầm ầm]	{}	"rumble(icl>sound>occur,obj>thing,ins>thing)"	"MAKE A LOW NOISE"	"RUMBLING THUNDER"	{v}	2,auto-polysemic-3lang;
[ấm áp]	{}	"warm(icl>adj,ant>cool)"	"PSYCHOLOGICALLY WARM"	"A WARM GREETING"	{a}	2,auto-polysemic-3lang;
[ẩm]	{}	"damp(icl>adj)"	"SLIGHTLY WET"	"CLOTHES DAMP WITH PERSPIRATION"	{a}	2,auto-polysemic-3lang;
[âm điệu]	{}	"intonation(icl>prosody>thing)"	"RISE AND FALL OF THE VOICE PITCH"	""	{n}	2,auto-polysemic-3lang;
[ametit]	{}	"amethyst(icl>quartz>thing)"	"A TRANSPARENT PURPLE VARIETY OF QUARTZ"	"USED AS A GEMSTONE"	{n}	2,auto-monosemic-2lang;
[âm học]	{}	"acoustics(icl>physics>thing)"	"THE STUDY OF THE PHYSICAL PROPERTIES OF SOUND"	""	{n}	2,auto-polysemic-3lang;
[ẩm]	{}	"humid(icl>adj)"	"CONTAINING OR CHARACTERIZED BY A GREAT DEAL OF WATER VAPOR"	"HUMID AIR"	{a}	2,auto-polysemic-3lang;
[amian]	{}	"asbestos(icl>amphibole>thing)"	"A FIBROUS AMPHIBOLE"	"USED FOR MAKING FIREPROOF ARTICLES"	{n}	3,auto-monosemic-3lang;
[amiăng]	{}	"asbestos(icl>amphibole>thing)"	"A FIBROUS AMPHIBOLE"	"USED FOR MAKING FIREPROOF ARTICLES"	{n}	2,auto-monosemic-2lang;
[amiđan]	{}	"tonsil(icl>lymphatic_tissue>thing)"	"EITHER OF TWO MASSES OF LYMPHATIC TISSUE ONE ON EACH SIDE OF THE ORAL PHARYNX"	""	{n}	3,auto-monosemic-3lang;
[amin]	{}	"amine(icl>methane_series>thing)"	"A COMPOUND DERIVED FROM AMMONIA BY REPLACING HYDROGEN ATOMS BY UNIVALENT HYDROCARBON RADICALS"	""	{n}	2,auto-monosemic-2lang;
[amip]	{}	"amoeba(icl>rhizopod>thing,equ>ameba)"	"NAKED FRESHWATER OR MARINE OR PARASITIC PROTOZOA THAT FORM TEMPORARY PSEUDOPODS FOR FEEDING AND LOCOMOTION"	""	{n}	2,auto-monosemic-2lang;
[amit]	{}	"amide(icl>organic_compound>thing)"	"ANY ORGANIC COMPOUND CONTAINING THE GROUP -CONH2"	""	{n}	2,auto-monosemic-2lang;
[âm lập thể]	{}	"stereophonic(icl>adj)"	"DESIGNATING SOUND TRANSMISSION FROM TWO SOURCES THROUGH TWO CHANNELS"	""	{a}	2,auto-monosemic-2lang;
[ẩm]	{}	"moist(icl>adj,equ>damp)"	"SLIGHTLY WET"	"A MOIST BREEZE"	{a}	2,auto-polysemic-3lang;
[âm mưu]	{}	"intrigue(icl>love_affair>thing)"	"A CLANDESTINE LOVE AFFAIR"	""	{n}	2,auto-polysemic-3lang;
[âm mưu]	{}	"intrigue(icl>plot>thing)"	"A CRAFTY AND INVOLVED PLOT TO ACHIEVE YOUR (USUALLY SINISTER) ENDS"	""	{n}	2,auto-polysemic-3lang;
[âm mưu]	{}	"machination(icl>plot>thing,equ>intrigue)"	"A CRAFTY AND INVOLVED PLOT TO ACHIEVE YOUR (USUALLY SINISTER) ENDS"	""	{n}	2,auto-polysemic-3lang;
[âm nhạc]	{}	"music(icl>auditory_communication>thing)"	"AN ARTISTIC FORM OF AUDITORY COMMUNICATION INCORPORATING INSTRUMENTAL OR VOCAL TONES IN A STRUCTURED AND CONTINUOUS MANNER"	""	{n}	2,auto-polysemic-3lang;
[âm nhạc]	{}	"music(icl>punishment>thing)"	"PUNISHMENT FOR ONE'S ACTIONS"	"YOU HAVE TO FACE THE MUSIC"	{n}	2,auto-polysemic-3lang;
[àm nhiễm bẩn]	{}	"pollute(icl>dirty>do,cob>matter,agt>thing,obj>matter)"	"MAKE IMPURE"	"THE INDUSTRIAL WASTES POLLUTED THE LAKE"	{v}	2,auto-monosemic-2lang;
[amoni]	{}	"ammonium(icl>ammonia>thing)"	"THE ION NH4 DERIVED FROM AMMONIA"	"BEHAVES IN MANY RESPECTS LIKE AN ALKALI METAL ION"	{n}	2,auto-monosemic-2lang;
[ampe kế]	{}	"ammeter(icl>meter>thing)"	"A METER THAT MEASURES THE FLOW OF ELECTRICAL CURRENT IN AMPERES"	""	{n}	1,auto-monosemic-1lang;
[âm]	{}	"sound(icl>auditory_communication>thing,equ>audio)"	"THE AUDIBLE PART OF A TRANSMITTED SIGNAL"	""	{n}	2,auto-polysemic-3lang;
[âm]	{}	"sound(icl>happening>thing)"	"THE SUDDEN OCCURRENCE OF AN AUDIBLE EVENT"	"THE SOUND AWAKENED THEM"	{n}	2,auto-polysemic-3lang;
[âm]	{}	"sound(icl>mechanical_phenomenon>thing)"	"MECHANICAL VIBRATIONS TRANSMITTED BY AN ELASTIC MEDIUM"	"FALLING TREES MAKE A SOUND IN THE FOREST"	{n}	2,auto-polysemic-3lang;
[âm]	{}	"sound(icl>sound_property>abstract_thing,obj>thing)"	"THE PARTICULAR AUDITORY EFFECT PRODUCED BY A GIVEN CAUSE"	"THE SOUND OF RAIN (OBJ) ON THE ROOF"	{n}	2,auto-polysemic-3lang;
[âm thanh]	{}	"sound(icl>auditory_communication>thing,equ>audio)"	"THE AUDIBLE PART OF A TRANSMITTED SIGNAL"	""	{n}	2,auto-polysemic-3lang;
[âm thanh]	{}	"sound(icl>happening>thing)"	"THE SUDDEN OCCURRENCE OF AN AUDIBLE EVENT"	"THE SOUND AWAKENED THEM"	{n}	2,auto-polysemic-3lang;
[âm thanh]	{}	"sound(icl>mechanical_phenomenon>thing)"	"MECHANICAL VIBRATIONS TRANSMITTED BY AN ELASTIC MEDIUM"	"FALLING TREES MAKE A SOUND IN THE FOREST"	{n}	2,auto-polysemic-3lang;
[âm thanh]	{}	"sound(icl>sound_property>abstract_thing,obj>thing)"	"THE PARTICULAR AUDITORY EFFECT PRODUCED BY A GIVEN CAUSE"	"THE SOUND OF RAIN (OBJ) ON THE ROOF"	{n}	2,auto-polysemic-3lang;
[âm tiết]	{}	"syllable(icl>language_unit>thing)"	"A UNIT OF SPOKEN LANGUAGE LARGER THAN A PHONEME"	"THE WORD `POCKET' HAS TWO SYLLABLES"	{n}	2,auto-polysemic-3lang;
[ẩm ướt]	{}	"damp(icl>adj)"	"SLIGHTLY WET"	"CLOTHES DAMP WITH PERSPIRATION"	{a}	2,auto-polysemic-3lang;
[ẩm ướt]	{}	"dank(icl>adj,equ>clammy)"	"UNPLEASANTLY COOL AND HUMID"	"A DANK CELLAR"	{a}	2,auto-polysemic-3lang;
