# Русско-хинди словарь, построенный на основе многоязычной базы данных "Универсальный словарь концептов"
# Слова и глоссы хинди взяты из ворднета хинди http://www.cfilt.iitb.ac.in/wordnet/webhwn/ и словаря CFILT UWD
# Выкладывается под GPL and CC-BY-SA-NC
# Вячеслав Диконов <sdiconov@mail.ru>
#
# This file contains a Russian-Hindi dictionary derived from the "Universal Dictionary of Concepts" database
# Hindi words and glosses come from the Hindi Wordnet http://www.cfilt.iitb.ac.in/wordnet/webhwn/ and CFILT UW dictionary
# It is available under GPL and CC-BY-SA-NC licenses
# Viacheslav Dikonov <sdiconov@mail.ru>
#
абак	n,мужск	गिनतारा	A CALCULATOR THAT PERFORMS ARITHMETIC FUNCTIONS BY MANUALLY SLIDING COUNTERS ON RODS OR IN GROOVES	
аббат	n,мужск	मठाध्यक्ष, मठाध्यक्ष्	THE SUPERIOR OF AN ABBEY OF MONKS	
аббатиса	n,женск	मठाध्यक्षा	THE SUPERIOR OF A GROUP OF NUNS	
аббатский	a	मठाध्यक्षीय, मठीय	OF OR HAVING TO DO WITH OR BELONGING TO AN ABBEY OR ABBOT, OR ABBESS	
аббатство	n,средн	मठ, मठ्	A CONVENT RULED BY AN ABBESS	
аббатство	n,средн	मठाधीश की पदावधि, मठाधीशाधिकारक्षेत्र	THE JURISDICTION OR OFFICE OF AN ABBOT	
аберрантный	a	अनैतिक, पथभ्रष्ट, विपथगामी	MARKEDLY DIFFERENT FROM AN ACCEPTED NORM	
аберрация	n,женск	असामान्यता, दृष्टि विपथन, पथांतरण, बुद्धिभ्रंश, मतिभ्रंश, विपथता	AN OPTICAL PHENOMENON RESULTING FROM THE FAILURE OF A LENS OR MIRROR TO PRODUCE A GOOD IMAGE	
аберрация	n,женск	पथभ्रष्टता	A STATE OR CONDITION MARKEDLY DIFFERENT FROM THE NORM	
аберрировать	v	अपसरित होना, डिगना, भटक जाना, विपथन करना	DIVERGE OR DEVIATE FROM THE STRAIGHT PATH	
