# Файл содержит русские синсеты, вычисляемые по данным Универсального словаря концептов UNL		
# Публикуется под СС-BY-SA		
# синсет	комментарий	список составляющих синсет UW
#		
# This file contains Russian synsets derived from the U++ UNL Universal Dictionary of Concepts		
# It is published under the terms of СС-BY-SA		
# Format:
# synset	comment	list of UWs which make up the synset		
		
много,немало	"TO A VERY GREAT DEGREE OR EXTENT"	a_lot(icl>how)
много,полно	"INDEFINITE LARGE AMOUNT"	a_lot(icl>quantity,equ>plenty,qua<thing)
бросать,оставлять,покидать	"LEAVE SOMEONE WHO NEEDS OR COUNTS ON YOU","LEAVE SOMEONE WHO NEEDS OR LOVES YOU"	abandon(icl>leave>do,agt>person,obj>person)+desert(icl>leave>do,equ>abandon,agt>thing,obj>thing)+desolate(icl>leave>do,equ>abandon,agt>thing,obj>thing)+forsake(icl>leave>do,equ>abandon,agt>thing,obj>thing)
безудержность,исступление	"A FEELING OF EXTREME EMOTIONAL INTENSITY"	abandon(icl>passion>thing,equ>wildness)+wildness(icl>passion>thing)
пристыжать,унижать,устыжать	"CAUSE TO FEEL SHAME"	abase(icl>hurt>do,equ>humiliate,agt>thing,obj>thing)+chagrin(icl>hurt>do,equ>humiliate,agt>volitional_thing,obj>thing,ins>thing)+humiliate(icl>hurt>do,agt>thing,obj>thing)+mortify(icl>hurt>do,equ>humiliate,agt>thing,obj>thing)
деградация,унижение,униженность	"A LOW OR DOWNCAST STATE"	abasement(icl>humiliation>thing)+abjection(icl>humiliation>thing,equ>abasement)+degradation(icl>humiliation>thing,equ>abasement)
беспокоить,смущать	"CAUSE TO BE EMBARRASSED"	abash(icl>upset>do,equ>embarrass,agt>thing,obj>thing)+embarrass(icl>upset>do,agt>volitional_thing,obj>volitional_thing,met>thing)
застенчивость,смущение	"FEELING EMBARRASSED DUE TO MODESTY"	abashment(icl>embarrassment>thing)+bashfulness(icl>embarrassment>thing,equ>abashment)
ослабевать,стихать,униматься	"BECOME LESS IN AMOUNT OR INTENSITY","GRADUALLY DISAPPEAR"	abate(icl>decrease>occur,obj>thing)+die_away(icl>disappear>occur,equ>die_down,obj>process)+let_up(icl>decrease>occur,equ>abate,obj>thing)+slack(icl>decrease>occur,equ>abate,obj>thing)+slack_off(icl>decrease>occur,equ>abate,obj>thing)
бойня,скотобойня	"A BUILDING WHERE ANIMALS ARE BUTCHERED"	abattoir(icl>building>thing)+butchery(icl>building>thing,equ>abattoir)+shambles(icl>building>thing,equ>abattoir)+slaughterhouse(icl>building>thing,equ>abattoir)
аббатиса,настоятельница	"THE SUPERIOR OF A GROUP OF NUNS"	abbess(icl>superior>thing)+prioress(icl>superior>thing,equ>abbess)
аббат,архимандрит	"THE SUPERIOR OF AN ABBEY OF MONKS"	abbot(icl>superior>thing)+archimandrite(icl>superior>thing,equ>abbot)
сокращать,укорачивать	"REDUCE IN SCOPE WHILE RETAINING ESSENTIAL ELEMENTS","TO MAKE SMALLER OR NARROWER"	abbreviate(icl>decrease>do,equ>abridge,agt>thing,obj>thing)+abridge(icl>decrease>do,agt>thing,obj>thing)+contract(icl>cause>do,ant>expand,src>uw,agt>thing,obj>concrete_thing,gol>uw,val>thing)+foreshorten(icl>decrease>do,equ>abridge,agt>volitional_thing,obj>thing)+reduce(icl>decrease>do,equ>abridge,agt>thing,obj>thing)+shorten(icl>decrease>do,equ>abridge,agt>thing,obj>thing)
азбука,азы,зачаток	"THE ELEMENTARY STAGES OF ANY SUBJECT (USUALLY PLURAL)"	abc(icl>fundamentals>thing,equ>rudiment)+alphabet(icl>fundamentals>thing,equ>rudiment)+rudiment(icl>fundamentals>thing)
отрекаться,отречься	"GIVE UP, SUCH AS POWER, AS OF MONARCHS AND EMPERORS, OR DUTIES AND OBLIGATIONS"	abdicate(icl>vacate>do,agt>volitional_thing,obj>thing)+renounce(icl>vacate>do,equ>abdicate,agt>volitional_thing,obj>thing)
отказ,отречение	"THE ACT OF ABDICATING"	abdication(icl>resignation>thing)
похитить,похищать	"TAKE AWAY TO AN UNDISCLOSED LOCATION AGAINST THEIR WILL AND USUALLY IN ORDER TO EXTRACT A RANSOM"	abduct(icl>seize>do,equ>kidnap,plf>thing,agt>volitional_thing,obj>person)+kidnap(icl>seize>do,plf>thing,agt>volitional_thing,obj>person)+nobble(icl>seize>do,equ>kidnap,agt>thing,obj>thing)
аберрация,отклонение	"A STATE OR CONDITION MARKEDLY DIFFERENT FROM THE NORM"	aberrance(icl>abnormality>thing)+aberration(icl>abnormality>thing,equ>aberrance)
аберрантный,ненормальный	"MARKEDLY DIFFERENT FROM AN ACCEPTED NORM"	aberrant(icl>adj)
аберрация,искажение	"AN OPTICAL PHENOMENON RESULTING FROM THE FAILURE OF A LENS OR MIRROR TO PRODUCE A GOOD IMAGE"	aberration(icl>optical_phenomenon>thing)+distortion(icl>optical_phenomenon>thing,equ>aberration)
омерзение,отвращение	"HATE COUPLED WITH DISGUST"	abhorrence(icl>hate>thing)+abomination(icl>hate>thing,equ>abhorrence)+detestation(icl>hate>thing,equ>abhorrence)+execration(icl>hate>thing,equ>abhorrence)+loathing(icl>hate>thing,equ>abhorrence)+odium(icl>hate>thing,equ>abhorrence)
омерзительный,отвратительный,отталкивающий	"OFFENSIVE TO THE MIND"	abhorrent(icl>adj)+detestable(icl>adj,equ>abhorrent)+obscene(icl>adj,equ>abhorrent)+repugnant(icl>adj,equ>abhorrent)+repulsive(icl>adj,equ>abhorrent)
жительство,местопребывание,проживание	"THE ACT OF DWELLING IN A PLACE"	abidance(icl>act>thing,equ>residency)+residence(icl>act>thing,equ>residency)+residency(icl>act>thing)
конформизм,соблюдение,соответствие	"ACTING ACCORDING TO CERTAIN ACCEPTED STANDARDS"	abidance(icl>cooperation>thing,equ>conformity,ant>nonconformity)+compliance(icl>cooperation>thing,equ>conformity,ant>noncompliance)+conformation(icl>cooperation>thing,equ>conformity,ant>nonconformity)+conformity(icl>cooperation>thing,ant>nonconformity)
выносить,мириться,переваривать,переносить,терпеть	"PUT UP WITH SOMETHING OR SOMEBODY UNPLEASANT"	abide(icl>permit>do,equ>digest,agt>thing,obj>thing)+bear(icl>endure>be,com>emotion,obj>thing,aoj>person)+brook(icl>permit>do,equ>digest,agt>thing,obj>thing)+digest(icl>permit>do,agt>thing,obj>thing)+support(icl>endure>be,obj>uw,aoj>person)+tolerate(icl>be,equ>endure,obj>thing,aoj>thing)
непреходящий,нетленный,постоянный,прочный	"UNCEASING"	abiding(icl>adj)+enduring(icl>adj,equ>abiding)+imperishable(icl>adj,equ>abiding)
отказ от ранее сказанного,отречение,отречение от своих слов	"A DISAVOWAL OR TAKING BACK OF A PREVIOUS ASSERTION"	abjuration(icl>disavowal>thing,equ>retraction)+recantation(icl>disavowal>thing,equ>retraction)+retraction(icl>disavowal>thing)
отказываться,отрекаться,отступаться	"FORMALLY REJECT OR DISAVOW A FORMERLY HELD BELIEF, USUALLY UNDER PRESSURE"	abjure(icl>renounce>do,agt>volitional_thing,obj>thing)+forswear(icl>renounce>do,equ>abjure,agt>volitional_thing,obj>thing)+recant(icl>renounce>do,equ>abjure,agt>volitional_thing,obj>thing)+resile(icl>renounce>do,equ>abjure,agt>thing)+retract(icl>renounce>do,equ>abjure,agt>volitional_thing,obj>thing)
абхазский,абхазский язык	"A CIRCASSIAN LANGUAGE SPOKEN BY THE ABKHAZ"	abkhazian(icl>circassian>abstract_thing,iof>language)
аблактировать,отлучать от груди	"GRADUALLY DEPRIVE (INFANTS AND YOUNG MAMMALS) OF MOTHER'S MILK"	ablactate(icl>deprive>do,equ>wean,agt>thing,obj>thing)+wean(icl>deprive>do,cob>matter,agt>volitional_thing,obj>animal)
вырезание,иссечение,удаление	"SURGICAL REMOVAL OF A BODY PART OR TISSUE"	ablation(icl>operation>thing)+excision(icl>operation>thing,equ>ablation)+extirpation(icl>operation>thing,equ>ablation)
